date,stock_id,market_value
2018-01-02,2887E,26450000000.0
2018-01-03,2887E,26450000000.0
2018-01-04,2887E,26450000000.0
2018-01-05,2887E,26450000000.0
2018-01-08,2887E,26450000000.0
2018-01-09,2887E,26500000000.0
2018-01-10,2887E,26450000000.0
2018-01-11,2887E,26500000000.0
2018-01-12,2887E,26550000000.0
2018-01-15,2887E,26550000000.0
2018-01-16,2887E,26550000000.0
2018-01-17,2887E,26550000000.0
2018-01-18,2887E,26550000000.0
2018-01-19,2887E,26550000000.0
2018-01-22,2887E,26550000000.0
2018-01-23,2887E,26600000000.0
2018-01-24,2887E,26600000000.0
2018-01-25,2887E,26600000000.0
2018-01-26,2887E,26550000000.0
2018-01-29,2887E,26600000000.0
2018-01-30,2887E,26600000000.0
2018-01-31,2887E,26600000000.0
2018-02-01,2887E,26600000000.0
2018-02-02,2887E,26650000000.0
2018-02-05,2887E,26650000000.0
2018-02-06,2887E,26600000000.0
2018-02-07,2887E,26700000000.0
2018-02-08,2887E,26700000000.0
2018-02-09,2887E,26650000000.0
2018-02-12,2887E,26550000000.0
2018-02-21,2887E,26700000000.0
2018-02-22,2887E,26750000000.0
2018-02-23,2887E,26750000000.0
2018-02-26,2887E,26850000000.0
2018-02-27,2887E,26850000000.0
2018-03-01,2887E,26950000000.0
2018-03-02,2887E,27000000000.0
2018-03-05,2887E,27000000000.0
2018-03-06,2887E,27050000000.0
2018-03-07,2887E,27000000000.0
2018-03-08,2887E,27100000000.0
2018-03-09,2887E,27100000000.0
2018-03-12,2887E,27100000000.0
2018-03-13,2887E,27100000000.0
2018-03-14,2887E,27150000000.0
2018-03-15,2887E,27150000000.0
2018-03-16,2887E,27150000000.0
2018-03-19,2887E,27100000000.0
2018-03-20,2887E,27100000000.0
2018-03-21,2887E,27150000000.0
2018-03-22,2887E,27100000000.0
2018-03-23,2887E,27100000000.0
2018-03-26,2887E,27100000000.0
2018-03-27,2887E,27100000000.0
2018-03-28,2887E,27100000000.0
2018-03-29,2887E,27150000000.0
2018-03-30,2887E,27250000000.0
2018-04-02,2887E,27300000000.0
2018-04-03,2887E,27350000000.0
2018-04-09,2887E,27350000000.0
2018-04-10,2887E,27400000000.0
2018-04-11,2887E,27400000000.0
2018-04-12,2887E,27400000000.0
2018-04-13,2887E,27400000000.0
2018-04-16,2887E,27400000000.0
2018-04-17,2887E,27300000000.0
2018-04-18,2887E,27350000000.0
2018-04-19,2887E,27350000000.0
2018-04-20,2887E,27350000000.0
2018-04-23,2887E,27350000000.0
2018-04-24,2887E,27350000000.0
2018-04-25,2887E,27350000000.0
2018-04-26,2887E,27350000000.0
2018-04-27,2887E,27350000000.0
2018-04-30,2887E,27400000000.0
2018-05-02,2887E,27400000000.0
2018-05-03,2887E,27350000000.0
2018-05-04,2887E,27350000000.0
2018-05-07,2887E,27350000000.0
2018-05-08,2887E,27400000000.0
2018-05-09,2887E,27400000000.0
2018-05-10,2887E,27400000000.0
2018-05-11,2887E,27350000000.0
2018-05-14,2887E,27300000000.0
2018-05-15,2887E,27350000000.0
2018-05-16,2887E,27300000000.0
2018-05-17,2887E,27300000000.0
2018-05-18,2887E,27300000000.0
2018-05-21,2887E,27300000000.0
2018-05-22,2887E,27350000000.0
2018-05-23,2887E,27300000000.0
2018-05-24,2887E,27350000000.0
2018-05-25,2887E,27350000000.0
2018-05-28,2887E,27350000000.0
2018-05-29,2887E,27350000000.0
2018-05-30,2887E,27300000000.0
2018-05-31,2887E,27300000000.0
2018-06-01,2887E,27350000000.0
2018-06-04,2887E,27300000000.0
2018-06-05,2887E,27350000000.0
2018-06-06,2887E,27300000000.0
2018-06-07,2887E,27300000000.0
2018-06-08,2887E,27400000000.0
2018-06-11,2887E,27350000000.0
2018-06-12,2887E,27350000000.0
2018-06-13,2887E,27350000000.0
2018-06-14,2887E,27300000000.0
2018-06-15,2887E,27350000000.0
2018-06-19,2887E,27400000000.0
2018-06-20,2887E,27350000000.0
2018-06-21,2887E,27300000000.0
2018-06-22,2887E,27250000000.0
2018-06-25,2887E,27200000000.0
2018-06-26,2887E,27200000000.0
2018-06-27,2887E,27200000000.0
2018-06-28,2887E,27150000000.0
2018-06-29,2887E,27100000000.0
2018-07-02,2887E,27100000000.0
2018-07-03,2887E,27050000000.0
2018-07-04,2887E,25950000000.0
2018-07-05,2887E,25950000000.0
2018-07-06,2887E,25950000000.0
2018-07-09,2887E,26000000000.0
2018-07-10,2887E,25950000000.0
2018-07-11,2887E,26000000000.0
2018-07-12,2887E,25950000000.0
2018-07-13,2887E,26000000000.0
2018-07-16,2887E,25950000000.0
2018-07-17,2887E,25900000000.0
2018-07-18,2887E,25900000000.0
2018-07-19,2887E,25900000000.0
2018-07-20,2887E,25900000000.0
2018-07-23,2887E,25950000000.0
2018-07-24,2887E,26000000000.0
2018-07-25,2887E,26000000000.0
2018-07-26,2887E,26050000000.0
2018-07-27,2887E,26100000000.0
2018-07-30,2887E,26100000000.0
2018-07-31,2887E,26100000000.0
2018-08-01,2887E,26150000000.0
2018-08-02,2887E,26150000000.0
2018-08-03,2887E,26150000000.0
2018-08-06,2887E,26200000000.0
2018-08-07,2887E,26200000000.0
2018-08-08,2887E,26250000000.0
2018-08-09,2887E,26200000000.0
2018-08-10,2887E,26200000000.0
2018-08-13,2887E,26200000000.0
2018-08-14,2887E,26250000000.0
2018-08-15,2887E,26200000000.0
2018-08-16,2887E,26200000000.0
2018-08-17,2887E,26250000000.0
2018-08-20,2887E,26300000000.0
2018-08-21,2887E,26350000000.0
2018-08-22,2887E,26400000000.0
2018-08-23,2887E,26450000000.0
2018-08-24,2887E,26550000000.0
2018-08-27,2887E,26550000000.0
2018-08-28,2887E,26500000000.0
2018-08-29,2887E,26500000000.0
2018-08-30,2887E,26550000000.0
2018-08-31,2887E,26600000000.0
2018-09-03,2887E,26600000000.0
2018-09-04,2887E,26650000000.0
2018-09-05,2887E,26700000000.0
2018-09-06,2887E,26650000000.0
2018-09-07,2887E,26600000000.0
2018-09-10,2887E,26650000000.0
2018-09-11,2887E,26600000000.0
2018-09-12,2887E,26650000000.0
2018-09-13,2887E,26650000000.0
2018-09-14,2887E,26650000000.0
2018-09-17,2887E,26650000000.0
2018-09-18,2887E,26650000000.0
2018-09-19,2887E,26700000000.0
2018-09-20,2887E,26650000000.0
2018-09-21,2887E,26700000000.0
2018-09-25,2887E,26650000000.0
2018-09-26,2887E,26750000000.0
2018-09-27,2887E,26700000000.0
2018-09-28,2887E,26750000000.0
2018-10-01,2887E,26700000000.0
2018-10-02,2887E,26750000000.0
2018-10-03,2887E,26800000000.0
2018-10-04,2887E,26800000000.0
2018-10-08,2887E,26700000000.0
2018-10-09,2887E,26700000000.0
2018-10-11,2887E,26450000000.0
2018-10-12,2887E,26600000000.0
2018-10-15,2887E,26550000000.0
2018-10-16,2887E,26500000000.0
2018-10-17,2887E,26500000000.0
2018-10-18,2887E,26550000000.0
2018-10-19,2887E,26500000000.0
2018-10-22,2887E,26500000000.0
2018-10-23,2887E,26500000000.0
2018-10-24,2887E,26450000000.0
2018-10-25,2887E,26400000000.0
2018-10-26,2887E,26400000000.0
2018-10-29,2887E,26400000000.0
2018-10-30,2887E,26500000000.0
2018-10-31,2887E,26500000000.0
2018-11-01,2887E,26400000000.0
2018-11-02,2887E,26400000000.0
2018-11-05,2887E,26400000000.0
2018-11-06,2887E,26400000000.0
2018-11-07,2887E,26500000000.0
2018-11-08,2887E,26500000000.0
2018-11-09,2887E,26550000000.0
2018-11-12,2887E,26500000000.0
2018-11-13,2887E,26550000000.0
2018-11-14,2887E,26500000000.0
2018-11-15,2887E,26500000000.0
2018-11-16,2887E,26550000000.0
2018-11-19,2887E,26550000000.0
2018-11-20,2887E,26600000000.0
2018-11-21,2887E,26550000000.0
2018-11-22,2887E,26600000000.0
2018-11-23,2887E,26650000000.0
2018-11-26,2887E,26700000000.0
2018-11-27,2887E,26700000000.0
2018-11-28,2887E,26700000000.0
2018-11-29,2887E,26700000000.0
2018-11-30,2887E,26700000000.0
2018-12-03,2887E,26750000000.0
2018-12-04,2887E,26700000000.0
2018-12-05,2887E,26650000000.0
2018-12-06,2887E,26700000000.0
2018-12-07,2887E,26700000000.0
2018-12-10,2887E,26700000000.0
2018-12-11,2887E,26650000000.0
2018-12-12,2887E,26700000000.0
2018-12-13,2887E,26700000000.0
2018-12-14,2887E,26650000000.0
2018-12-17,2887E,26700000000.0
2018-12-18,2887E,26700000000.0
2018-12-19,2887E,26750000000.0
2018-12-20,2887E,26700000000.0
2018-12-21,2887E,26700000000.0
2018-12-24,2887E,26750000000.0
2018-12-25,2887E,26750000000.0
2018-12-26,2887E,26650000000.0
2018-12-27,2887E,26700000000.0
2018-12-28,2887E,26600000000.0
